prompt_short,n,band_mean,band_std,word_count_mean,prompt_overlap_mean
"In some countries, more and more people becoming interested in finding out about the history of the house or building th",21,6.238095238095238,1.374945886381057,301.42857142857144,0.6320346320346321
some countries more and more people are becoming interested in finding out bout the history of the house or building the,21,5.738095238095238,1.4800257398019099,292.2857142857143,0.5238095238095238
Some people think that climate change could have a negative effect on business. Other people think that climate change c,21,5.619047619047619,1.3124858275878823,291.57142857142856,0.5782312925170068
Some people think that robots are important for human’s future development. Others think that robots have negative effec,21,6.595238095238095,1.3473960778019918,290.8095238095238,0.5333333333333333
People nowadays tend to have children at older ages. Do the advantages of this outweigh the disadvantages?,21,6.142857142857143,1.1634308868907635,293.9047619047619,0.6137566137566137
Many university graduates cannot find a job in their chosen profession. What factors may have caused this situation and ,20,5.85,1.5568186183773358,332.35,0.4524637681159421
"Some people think that the best way to become successful in life is to get a university education, whereas others say th",20,5.525,1.8171333699567915,315.05,0.584375
Some people believe that one of the best ways to solve environmental problem is to increase the cost of fuel for cars an,20,5.7,1.7426537536938191,278.2,0.5280713489409141
The range of technology available to people is increasing the gap between the rich and the poor. Others think it has an ,20,5.6,1.9235384061671343,302.7,0.44727272727272727
"Some people believe that robots will play an important role in future societies, while others argue that robots might ha",19,5.947368421052632,1.747178176073456,301.7894736842105,0.4970760233918129
"Schools should focus on academic success and passing examinations. Skills such as cookery, dressmaking and woodwork shou",19,5.052631578947368,1.597695709122162,293.6842105263158,0.5629564341475699
Some people think that public health within a country can be improved by government making laws regarding nutritious foo,19,5.394736842105263,1.2972079779324888,323.57894736842104,0.5377574370709383
Some people think that the best way to solve global environmental problems is to increase the cost of fuel. To what exte,19,6.7368421052631575,0.7143065995275805,288.57894736842104,0.534412955465587
Some people think the best way to solve global environmental problems is to increase the cost of fuel. To what extent do,19,6.052631578947368,1.3322363908742285,292.36842105263156,0.5575236167341431
Some employers believe that job applicants’ social skills are more important than their academic qualifications. To what,18,6.25,1.1408201384246748,293.55555555555554,0.5434609250398723
Some people think that one of the best ways to solve environmental problems is to increase the cost of fuels for cars an,18,6.027777777777778,1.658066044081462,279.0,0.493287037037037
Children find it difficult to concentrate on or pay attention to their studies in school. What are the reasons? How can ,18,5.527777777777778,1.519212472285464,304.3333333333333,0.5666666666666667
Some people think that children should be taught at school to recycle materials and avoid waste. Other people believe th,18,6.138888888888889,1.5127454157294469,308.6666666666667,0.5592592592592592
Some people believe that what children watch on television influences their behaviour. Others say that amount of time sp,18,5.777777777777778,1.1143742932064957,288.3888888888889,0.5984477124183006
"Scientists tell us that some activities are good for health and others are bad. Despite knowing that, millions of people",17,5.911764705882353,1.1072953269911647,297.47058823529414,0.4313725490196078
Money should be spent on creating new public buildings such as museums or town halls rather than renovating the existing,17,6.088235294117647,1.1757350641945108,282.0,0.5372549019607843
"The education of young people is highly prioritized in many countries. However, educating adults who cannot write or rea",17,5.735294117647059,1.6213193610724066,343.5882352941176,0.48459383753501395
Only government action can solve housing shortages in big cities. To what extent do you agree or disagree?,17,4.823529411764706,2.022847439800116,290.7647058823529,0.4901960784313725
Some believe that people are naturally born as leaders while others feel that leadership skills can develop. Discuss bot,17,6.647058823529412,1.0272035138294306,298.7647058823529,0.6092436974789917
"Some people believe that time spent on television, video and computer games can be beneficial to children. Others believ",17,5.764705882352941,1.3476559169863187,310.5882352941176,0.6255286428296809
Some people think that charity organizations should only offer help to people of their own country. But others believe t,17,5.970588235294118,1.4944751193489108,332.47058823529414,0.4701129320506483
"In some countries, there has been an increase in the number of parents who educate their children themselves at home ins",17,5.0588235294117645,1.4777765492156671,303.6470588235294,0.4873949579831933
More and more people are seriously overweight. Some people suggest the solution to this problem is to increase the price,16,6.5,0.6831300510639733,312.6875,0.5
"Nowadays, more and more people decide to have children later in their life. What do you think are the reasons for this? ",16,6.25,1.224744871391589,341.0,0.5930771531100478
"Men and women are different in terms of their characteristics and abilities. For this reason, some jobs are better done ",16,6.46875,1.3224818839338908,281.0,0.4166666666666667
Some people think scientific research should focus on solving world health problems. Others think that there are more im,16,5.78125,1.4828885100820401,311.0,0.59765625
"Nowadays families move to different countries for work. Some people think it has a negative effect on children, while ot",16,6.5,1.5491933384829668,326.25,0.4448529411764706
Some people think that art is essential subject for children at school while others think it is a waste of time. Discuss,16,6.1875,1.0626225419530053,290.625,0.5721153846153846
Some believe that eventually all jobs will be done by artificially intelligent robots. What is your opinion?,16,6.25,1.3165611772087666,284.875,0.625
More and more people decide to eat healthy food and exercise regularly. What are the reasons for this trend? What can be,16,6.21875,1.527184228135776,309.6875,0.5625
Some people claim that many things that children are taught at school are a waste of time. Other people argue that every,16,6.25,1.505545305418162,329.125,0.4581290849673203
"Nowadays, more and more people decide to have children later in their life. What are the reasons? Do advantages of this ",15,6.333333333333333,1.0634624492441567,302.2,0.58
Films and computer games containing violence are popular. Some people say they have negative effect on society and shoul,15,6.366666666666666,1.3425278218275225,299.1333333333333,0.5333333333333333
Some believe technology has made our lives too complex and the solution is to lead a simpler life without technology. To,15,6.0,1.439245834257849,310.6666666666667,0.5333333333333333
The only way to improve safety on our roads is to give much stricter punishments for driving offences. What extent do yo,15,5.233333333333333,1.9444671200491879,282.26666666666665,0.4444444444444445
"Many people argue that in order to improve educational quality, high school students should be encouraged to question an",15,6.466666666666667,1.1720962092804172,332.4,0.5655011655011655
"Some people think the main purpose of school is to turn children into good citizens and workers, rather than to benefit ",15,6.9,1.4292855358035157,295.53333333333336,0.49166666666666664
"In many countries, the government likes to spend more money on the arts. Some people agree with this. However, others th",15,6.033333333333333,1.674031347490528,316.53333333333336,0.5222222222222223
Some people say that playing computer games is bad for children in every aspect. Others say that playing computer games ,15,6.166666666666667,1.096531327587567,299.6,0.5288888888888889
"some people believe that studying at university or college is the best route to a successful career, while others believ",15,4.866666666666666,2.013052645208503,278.46666666666664,0.5492718724916867
Some people believe that the government should take care of old people and provide financial support after they retire. ,15,6.633333333333334,1.245945806357946,329.26666666666665,0.54210419484346
"Education for young people is important in many countries. However, some people think that the government should spend m",15,5.433333333333334,1.4622227046846312,323.2,0.5254061078622482
Some people think the increasing business and cultural contact between countries brings many positive effects. Others sa,14,6.0,1.4806443503784736,302.07142857142856,0.48214285714285715
Today people are surrounded by advertising. This affects what people think is important and has a negative impact on peo,14,4.785714285714286,1.4506535094210484,287.35714285714283,0.33751962323390894
some people believe that teenagers should be required to do unpaid community work in their free time .This can benefit t,14,6.5,0.9607689228305226,288.2857142857143,0.5142857142857143
"In the past, people stored knowledge in books. Nowadays people store knowledge on the internet. Do you think the advanta",14,6.464285714285714,1.3368200746876566,305.2857142857143,0.5416666666666666
Parents should encourage children to spend less time studying and more time doing physical activities. To what extent do,14,5.071428571428571,1.6624488755255793,271.5,0.630952380952381
Some people think the government should increase the cost of fuel for cars and other vehicles in order to solve environm,14,6.5,0.6793662204867574,286.42857142857144,0.5714285714285714
"Every day, millions of tons of food are wasted all over the world. Why do you think this is happening? And how can we so",14,4.964285714285714,1.8858204265832632,280.07142857142856,0.42857142857142855
"In some countries, more and more people are becoming interested in finding out about the history of the houses or buildi",14,5.857142857142857,1.6805284359914365,315.85714285714283,0.5194805194805194
Some people use social media to keep in touch with other people and news events. Do you think advantages of this technol,13,6.653846153846154,1.125178048588596,319.6923076923077,0.6730769230769231
Some believe that people are naturally born leaders while others feel that leadership skills can develop. Discuss both v,13,5.423076923076923,1.9668730878197873,270.0,0.5054945054945055
"Some people think news has no connection to people's lives, so then it is a waste of time to read the news in the newspa",13,5.115384615384615,1.8160608258196975,280.7692307692308,0.49038461538461536
Advertisements are becoming more and more common in our everyday life. Is it a positive or negative development?,13,6.615384615384615,1.0439078454267834,308.2307692307692,0.34615384615384615
"Some people think that robots are very important to human’s future development, while others think they are dangerous an",13,5.576923076923077,1.4697810756219478,282.3076923076923,0.5480769230769231
"Some people think that governments should change the way individuals live, while others believe they should choose the w",13,5.8076923076923075,0.9250779592927456,317.3076923076923,0.5135531135531135
Some people believe that teenager should be required to do unpaid community work in their free time. This can be benefit,13,5.5,1.7795130420052185,303.46153846153845,0.6371794871794871
Some think that governments should support retired people financially while others believe they should take care of them,13,5.461538461538462,1.3143683283479188,321.38461538461536,0.5934065934065934
Public health is becoming an urgent issue nowadays. Some argue that governments should create nutrition and food choice ,13,6.076923076923077,1.9240382212739633,312.46153846153845,0.4540387149082801
"Nations should spend more money on skills and vocational training for practical work, rather than on university educatio",12,6.625,1.494307379843433,298.4166666666667,0.5595238095238095
"Nowadays, more and more people decide to have children later in their life. What are the reasons? Do the advantages of t",12,6.75,1.2339883600452932,344.8333333333333,0.6
Most of the urgent problems can only be solved with international cooperation. To what extent do you agree or disagree?,12,5.708333333333333,1.5733336543399776,282.4166666666667,0.5520833333333334
Some people think that illegal Internet downloads are having a negative effect on the music industry. Others feel that t,12,5.625,2.375299024237886,304.5833333333333,0.513888888888889
"Some people think that in order to continue improving the quality of high school education, students should be encourage",12,5.166666666666667,1.9809700715160805,306.9166666666667,0.465
Some people think that museums should be enjoyable places to entertain people while others believe that the purpose of m,12,5.708333333333333,1.3221596199423353,277.75,0.5345238095238095
"Some people think technology makes life complex, so we should make life simpler without using technology. Do you agree o",12,5.875,1.9554701829390384,281.9166666666667,0.5694444444444444
"Some people think that newspapers are the best way to get news. However, others believe that they can get news better th",12,7.0,0.7071067811865476,281.5,0.484375
Some people say that what children watch influences their behavior. Others believe the amount of time they spend on tele,12,6.291666666666667,1.468739925819738,365.8333333333333,0.5
Human activities have negative effects on plants and animal species. Some people think that it is too late to do anythin,12,6.458333333333333,1.096654692759537,294.0833333333333,0.48484848484848486
Some people think news has no connection to people’s lives. So then it is a waste of time to read the newspaper and watc,12,6.166666666666667,1.051694159944138,309.4166666666667,0.5611111111111111
Some people think parents should read or tell stories to children. Others think parents needn’t do that as children can ,12,6.791666666666667,0.9643257968260739,318.3333333333333,0.6354166666666666
Some people believe that a great difference in age between people and children is more beneficial. Do you think the adva,12,6.833333333333333,1.212310591266516,327.1666666666667,0.5681818181818182
"Many different countries have most shops and products as the same. Some consider it a positive development, whereas othe",11,6.136363636363637,1.5344528192634188,300.3636363636364,0.4303030303030303
"Experts believe that over the next decade, robots will be doing many of the jobs currently done by humans. Discuss the a",11,6.0,1.224744871391589,273.0,0.5804195804195804
Some people use social media to keep in touch with other people and news events. Do you think advantage of technology ou,11,5.681818181818182,2.2279219832921355,289.0,0.5606060606060607
"Some countries, more and more people becoming interested in finding out about the history of the house or building they ",11,5.545454545454546,1.916436086262016,293.1818181818182,0.6198347107438017
"Studies show that many criminals have a low level of education. For this reason, people believe that the best way to red",11,5.363636363636363,1.2265991417514748,303.90909090909093,0.5430778371954843
"Education for young people is important in many countries. However, others think government should spend more money for ",11,4.181818181818182,1.3833424607219875,275.1818181818182,0.4954545454545455
People think that the government should increase the cost of fuel for cars and other vehicles to solve environmental pro,11,6.636363636363637,0.6360388781713383,306.90909090909093,0.7062937062937062
More and more people are becoming seriously overweight. Some people say that the price increase of fattening foods will ,11,5.954545454545454,1.916436086262016,298.09090909090907,0.46853146853146854
Movies and computer games containing violence are popular. Some people say they have a negative effect on society and sh,11,6.2272727272727275,1.1037127426019047,315.0,0.5454545454545454
Newspapers have an enormous influence on people’s opinions and ideas. Do you think it is a positive or negative situatio,11,6.0,1.3601470508735443,286.6363636363636,0.4272727272727273
Some people think that public health of a country can be improved if the government make laws regarding nutritious food ,11,5.7272727272727275,1.3107943462579545,316.6363636363636,0.5005347593582887
Only 20% of Tech Jobs are Held by Women. What problems do women face that prevent them from getting these jobs and what ,11,6.363636363636363,1.4158197111728086,328.6363636363636,0.3939393939393939
"Education of young people is highly prioritized in many countries. However, educating adults who cannot write or read is",11,6.136363636363637,1.689540012709215,294.27272727272725,0.5064935064935064
"in some countries, more and more people are becoming interested in finding out about the history of the house or buildin",10,5.65,1.4346892811104894,286.9,0.6272727272727272
It is important for all towns and cities to have large public spaces such as squares and parks. Do you agree or disagree,10,6.35,1.780293359096878,303.7,0.6406293706293706
Environmental damage is a problem in most countries. What factors damage the environment and who should take responsibil,10,6.65,1.1796892246124258,313.5,0.675
"Some people think that it is a waste of money for countries to host big sporting events like the world cup, and that the",10,6.15,1.5284342024147166,337.3,0.46223776223776225
Restoration of old buildings in main cities involves enormous government expenditure. It would be more beneficial to spe,10,6.1,1.5951314818673865,315.4,0.3861111111111111
Write about the following topic.The issue of gay marriage remains controversial. Some people think that this trend has a,10,6.3,0.9189365834726815,296.0,0.30689655172413793
"Nowadays more and more people want to get things done instantly (services, information, tasks). Why is this? Do you thin",10,5.75,1.0606601717798212,309.3,0.6206730769230769
"Some people think that children should not watch television because it has negative effects, while others believe that t",10,6.35,0.85146931829632,310.6,0.488095238095238
Many people believe that the priority of the government should be to ensure a growing economy. While others believe that,9,5.222222222222222,1.5833333333333335,266.8888888888889,0.5277777777777778
"Many people argue that in order to improve educational quality, high school students should be encouraged to make commen",9,5.444444444444445,2.0069324297987157,279.44444444444446,0.5406774295663185
In cities and towns all over the world the high volume of traffic is a problem. What are the causes of this and what act,9,5.833333333333333,1.5411035007422442,297.77777777777777,0.5252525252525253
Some people say that public sports facilities improve people health problems. Others argue that this development has ins,9,6.055555555555555,1.2856040517117926,286.55555555555554,0.5277777777777778
Some countries more and more people are becoming interested in finding out bout the history of the house or building the,9,6.055555555555555,0.982485510212633,313.22222222222223,0.49074074074074076
It is argued that the parents of children who break the rules should be punished in some ways as parents are responsible,9,7.0,1.1989578808281798,291.77777777777777,0.44373219373219375
Some people think government should focus on reducing environmental pollution and housing problems to help prevent illne,9,5.555555555555555,1.9112241568632857,302.0,0.5625
It is important for all towns and cities to have large public outdoor places like squares and parks. To what extent do y,9,6.333333333333333,2.0615528128088303,277.6666666666667,0.5726495726495727
Some employers believe that job applicants’ social skills are more important than their academic qualifications. Do you ,9,6.333333333333333,1.299038105676658,289.8888888888889,0.5959595959595959
"Nowadays, we are surround by advertising in our daily lives. Some people believe this has a positive effect on society. ",9,5.333333333333333,1.7677669529663689,286.44444444444446,0.4012345679012346
Some people think that the best way to solve global environment problems is to increase the cost of fuel. To what extent,9,6.055555555555555,1.5701203067847314,299.77777777777777,0.5384615384615385
Many customs and traditional ways of behaviors are no longer relevant to the modern life and no worth keeping. Do you ag,9,6.777777777777778,1.7340543372237343,302.0,0.4188034188034188
It is more important to spend public money promoting a healthy lifestyle in order to prevent illness than to spend it on,9,5.388888888888889,2.246911460452127,359.3333333333333,0.625
Some people believe that eventually all jobs will be done by artificial intelligence robots. What is your opinion?,9,6.055555555555555,1.379412113103904,279.6666666666667,0.6296296296296297
News media is important in our society. Why is it so important? Do you think its influence is generally positive or nega,9,5.277777777777778,1.660404903764273,310.6666666666667,0.5555555555555556
Some people think competitive sport is important for a child's education. Others think it has negative effects on childr,8,5.375,1.246423454758225,297.25,0.4916666666666667
Write about the following topic.Some people prefer to spend their lives doing the same things and avoiding change. Other,8,5.5625,0.6232117273791126,300.375,0.31481481481481477
Some people think students should study the science of food and how to prepare it. Others think that school time should ,8,6.75,1.164964745021435,302.125,0.44
"Some people think watching TV is bad for children, while others think that watching TV has more beneficial effects on ch",8,6.1875,0.8838834764831848,300.75,0.5568181818181818
"In many countries, more and more young people are leaving school and unable to find jobs after graduation. What problems",8,5.3125,1.7715509750337008,285.125,0.5
"Some people believe that studying at university or college is the best route to a successful career, while others think ",8,5.75,1.3627702877384937,300.375,0.4444444444444444
"In many countries imprisonment is the most common solution to crimes. However, some people believe that better education",8,5.9375,1.6352697462061552,291.625,0.5833333333333333
Some people think that increasing business and cultural contacts worldwide have positive influences on development; othe,8,5.6875,1.5103807466993215,312.25,0.5394736842105263
"In some countries, people encourage students to find part-time jobs while some people don't. Discuss both sides and give",8,6.4375,1.26596941962615,294.0,0.5384615384615384
"Studies show that many criminals have a low level of education. For this reason, some people believe that the best way t",8,6.125,1.3296078906418773,325.25,0.5075805322128851
"Nowadays, celebrities are more famous for their glamour and wealth than for their achievements, and this has set a bad e",8,6.3125,0.5303300858899109,271.0,0.4375
It is suggested that primary children should learn how to grow vegetables and keep animals. Do the advantages outweigh t,8,6.9375,1.0835622468770048,295.75,0.7613636363636364
Some people think the money spent on developing the technology for space exploration is not justified. There are more be,8,6.8125,1.0999188281738923,333.5,0.4583333333333333
The best way to solve the world’s environmental problems is to increase the cost of fuel for cars and other private vehi,8,5.8125,1.6461535252130737,296.125,0.5892857142857143
"Many people argue that in order to improve educational quality, high school students should encouraged to question and o",8,5.5,1.6903085094570334,310.125,0.5192307692307693
Human activities have led negative effects on plant and animals all over the world. Some people think it is too late to ,8,4.5,1.8322507626258089,289.875,0.3875
"In recent years,” responsible tourists” have paid attention to preserving both culture and environmrnt of the places tha",8,5.125,0.9910312089651149,278.125,0.39473684210526316
In some cities and towns all over the world the high volume of traffic is a problem. What are the causes of this and wha,8,6.4375,1.2659694196261504,301.375,0.5227272727272727
Historical objects should be brought back to their country of origin. To what extent do you agree or disagree?,8,6.5625,0.6781013409302689,286.75,0.5555555555555556
Some people believe that watching television is bad for children. Other people believe that watching television is educa,8,5.0,1.6903085094570331,280.75,0.6009615384615384
Some people think that the range of technology available to people is increasing the gap between the rich and the poor. ,8,5.8125,1.1319231422671772,288.625,0.5499999999999999
Some people think that there are benefits in going to private secondary schools. Others feel that private schools can ha,8,5.9375,1.1160357137142676,289.625,0.5234375
"In today’s world, people spend a lot of money on appearance because they want to look younger. Why does this happen? Do ",8,5.6875,0.9977653603356423,295.0,0.4910714285714286
Any country should be able to sell goods to other countries without the restrictions of the government. Do you agree or ,8,6.0,1.9639610121239315,286.75,0.5875
Write about the following topic.Some people believe that teaching children at home is best for a child's development whi,8,6.875,1.026436275942851,316.25,0.37037037037037035
"Some people think news has no connection to people’s lives, so it is a waste of time to read news in the newspaper and w",8,6.875,0.6408699444616553,296.875,0.5666666666666667
You should spend about 40 minutes on this task. More people decided to have children in their later age than in the past,7,5.0,1.5545631755148024,342.0,0.3181818181818182
Nowadays people use social media to keep in touch with others and be aware of the news. Do the advantages of this outwei,7,4.642857142857143,1.5998511835554612,324.42857142857144,0.5238095238095238
"Young people are often influenced in their behaviours and situations by others in the same age. This is called ""peer pre",7,5.357142857142857,1.2149857925879117,299.7142857142857,0.5934065934065934
in some countries more and more people are becoming interested in finding out about the history of the house or building,7,6.928571428571429,0.8380817098475257,318.2857142857143,0.5974025974025974
Advertisements are becoming more and more common in everyday life. Is it a positive or negative development,7,5.714285714285714,1.2535663410560176,295.7142857142857,0.4107142857142857
"You should spend about 40 minutes on this task. Some people think that instead of preventing climate change, we need to ",7,6.928571428571429,0.7867957924694431,290.7142857142857,0.26946966077400863
"In recent years, tourists have paid attention to preserving both the culture and environment of the places they visit. H",7,5.285714285714286,2.4470584868562577,296.85714285714283,0.4142857142857143
Some people believe that eventually all jobs will be done by artificially intelligent robots. To what extent do you agre,7,6.071428571428571,1.3671311638052945,380.42857142857144,0.5147186147186147
"The movement of people from the countryside into the cities is happening in many parts of the world, resulting in the pr",7,7.214285714285714,0.809173593712687,362.2857142857143,0.3983516483516483
Machines are taking over more and more jobs previously done by humans. Discuss the advantages and disadvantages and give,7,5.714285714285714,0.9063269671749657,303.7142857142857,0.45454545454545453
"Some people think that the (government should provide (assistance) to (all kinds of artists) including painters, musicia",7,6.928571428571429,0.8380817098475258,315.57142857142856,0.3968253968253968
"Many people argu that in order to improve educational quality, high school students are encouraged to make comments or e",7,5.571428571428571,0.9759000729485332,318.57142857142856,0.4395604395604395
Some people believe that it is the government’s responsibility to provide care and finance to support people after they ,7,5.5,1.4142135623730951,296.42857142857144,0.6466165413533834
More and more people are becoming serious overweight. Some people think that a solution can be to increase the price of ,7,5.714285714285714,1.3801311186847085,274.14285714285717,0.4835164835164835
The expansion of multinational companies and increase in globalization produces positive effects to everyone. To what ex,7,7.285714285714286,1.0350983390135313,300.7142857142857,0.3956043956043956
A lot of old people are suffering from loneliness these days. They also lack physical fitness. What do you think are the,7,4.928571428571429,1.1338934190276817,309.0,0.5494505494505495
Holding International games such as The Olympic Games is an exciting event. Some people think that it has positive effec,7,5.857142857142857,1.8866700319673837,304.85714285714283,0.38095238095238093
"Some people believe that children at school should learn art, others says it is a waste of time. What is your opinion?",7,6.071428571428571,0.9759000729485331,288.42857142857144,0.7000000000000001
"Some people argue that climate change has negative effects on business, while other people believe that climate change c",7,6.285714285714286,0.7559289460184544,293.42857142857144,0.5809523809523809
