prompt_short,count
Some people think that the range of technology available to people is increasing the gap between the rich and the poor. ,8
"Nowadays, celebrities are more famous for their glamour and wealth than for their achievements, and this has set a bad e",8
"Some people think news has no connection to people’s lives, so it is a waste of time to read news in the newspaper and w",8
"Studies show that many criminals have a low level of education. For this reason, some people believe that the best way t",8
Some people think that there are benefits in going to private secondary schools. Others feel that private schools can ha,8
"In recent years,” responsible tourists” have paid attention to preserving both culture and environmrnt of the places tha",8
The best way to solve the world’s environmental problems is to increase the cost of fuel for cars and other private vehi,8
In some cities and towns all over the world the high volume of traffic is a problem. What are the causes of this and wha,8
Write about the following topic.Some people believe that teaching children at home is best for a child's development whi,8
Any country should be able to sell goods to other countries without the restrictions of the government. Do you agree or ,8
Historical objects should be brought back to their country of origin. To what extent do you agree or disagree?,8
"Some people believe that studying at university or college is the best route to a successful career, while others think ",8
Some people think students should study the science of food and how to prepare it. Others think that school time should ,8
"In some countries, people encourage students to find part-time jobs while some people don't. Discuss both sides and give",8
"Many people argue that in order to improve educational quality, high school students should encouraged to question and o",8
"Some people think watching TV is bad for children, while others think that watching TV has more beneficial effects on ch",8
"In many countries imprisonment is the most common solution to crimes. However, some people believe that better education",8
Some people think that increasing business and cultural contacts worldwide have positive influences on development; othe,8
"In today’s world, people spend a lot of money on appearance because they want to look younger. Why does this happen? Do ",8
Some people think competitive sport is important for a child's education. Others think it has negative effects on childr,8
"In many countries, more and more young people are leaving school and unable to find jobs after graduation. What problems",8
"Nowadays, celebrities are more famous for their glamour and wealth than for their achievements, and this sets a bad exam",7
"The dangers of smoking are well known, yet many people continue with this habit.What are the causes of this? How can we ",7
A lot of old people are suffering from loneliness these days. They also lack physical fitness. What do you think are the,7
Surveys show that many people believe most jobs in the future will be done at home.Do you agree or disagree ?,7
in some countries more and more people are becoming interested in finding out about the history of the house or building,7
"In many countries, governments spend large sums of money on the arts and this is supported by some taxpayers as worthwhi",7
Some people believe that teenagers should be required to do unpaid community work in their free times. This can benefit ,7
"Some people argue that climate change has negative effects on business, while other people believe that climate change c",7
some people think that the best way to solve global environmental problems is to increase the cost of fuel. To what exte,7
"You should spend about 40 minutes on this task. Some people think that instead of preventing climate change, we need to ",7
Many people believe that the current system of both teachers and students in the classroom will no longer exist by the y,7
Some people think it is one of the best ways to solve environmental problems by increasing the cost of fuels for cars an,7
Machines are taking over more and more jobs previously done by humans. Discuss the advantages and disadvantages and give,7
"Some people think that students benefit from going to private secondary schools. Others, however, feel that private seco",7
Nowadays people use social media to keep in touch with others and be aware of the news. Do the advantages of this outwei,7
"Some people think the main benefit of international cooperation is in the protection of the environment, while others th",7
The expansion of multinational companies and increase in globalization produces positive effects to everyone. To what ex,7
Some people believe that governments should pay full course fees for students who want to study in universities. Do you ,7
"Some people think that the (government should provide (assistance) to (all kinds of artists) including painters, musicia",7
"In recent years, tourists have paid attention to preserving both the culture and environment of the places they visit. H",7
Holding International games such as The Olympic Games is an exciting event. Some people think that it has positive effec,7
Some people believe that the government should not spend money on international aid when they have their own disadvantag,7
"Some people think that physical strength is important for success in sport, while other people think that mental strengt",7
Some people believe that teenagers should be required to do unpaid community work in their free time. This can be benefi,7
More and more people are becoming serious overweight. Some people think that a solution can be to increase the price of ,7
Some people believe that climate effects the person’s way of life while other believe that climate has greater impact on,7
Some people believe that it is the government’s responsibility to provide care and finance to support people after they ,7
Some people think that secondary school children should study international news as one of school subjects. Other people,7
Interviews form the basic selection criteria for most large companies. However some people think that interview is not a,7
Some people believe that eventually all jobs will be done by artificially intelligent robots. To what extent do you agre,7
"Some people think the money spent on developing technology for space exploration is not justified. However, there are mo",7
Advertisements are becoming more and more common in everyday life. Is it a positive or negative development,7
Some people are of the view that students should keep a gap of one year without study between school and university. Whi,7
The best way to solve the world’s environmental problems is to increase the cost of fuel for cars and other vehicles. To,7
"Money offered for post graduate research is limited; as a consequence, some people argue that financial support from the",7
The best way to reduce poverty in developing countries is by providing at least six years of free education for each chi,7
Some people say that playing games can be bad for children. Others say that playing computer games can have positive eff,7
Many people assume that the goal of every country should be to produce more materials and goods.To what extent do you ag,7
Money should be spent on creating new public buildings such as museums or town hall rather than renovating the existing ,7
You should spend about 40 minutes on this task. More people decided to have children in their later age than in the past,7
Write about the following topic.Some people think that government is responsible for the rise in obesity in children.Do ,7
"Many people argu that in order to improve educational quality, high school students are encouraged to make comments or e",7
In many countries people increasingly talk about money (how much they earn or how much they pay for things in their dail,7
"Some people think in order to continually improve the quality of education, high school students should be encouraged to",7
"Young people are often influenced in their behaviours and situations by others in the same age. This is called ""peer pre",7
"Write about the following topic.Many governments think that economic progress is their most important goal. Some people,",7
Reporting of crimes and other kinds of violent news on television and in newspapers can have adverse consquences. This k,7
"The movement of people from the countryside into the cities is happening in many parts of the world, resulting in the pr",7
"Some people believe that children at school should learn art, others says it is a waste of time. What is your opinion?",7
Some think that government should support retired people financially while others believe they should take care of thems,7
"Many people believe that good planning is the key factor to success in life, while others believe that other factors lik",6
Leaders and directors in organizations are normally older people. Some people think having a younger leader would be bet,6
"The number of TV programs is growing day by day. Some people say it is good as it gives people more choices, while other",6
Some people think that children should be taught at school how to avoid waste and recycle. Others think that children sh,6
Crimes committed by young people are increasing in major cities throughout the world. Discuss the causes and how to solv,6
"Some people think the developments of technology make people's life more complex, so we should make life simpler without",6
"Some people think the main purpose of schools is to turn children into good citizens and workers, rather than to benefit",6
"Write about the following topic.Although there are a lot of translation software available, learning a language could st",6
Some people think the money spent in developing the technology for space exploration is not justified. There are more be,6
"Write about the following topic.Some people believe that school children should not be given homework by their teachers,",6
Write about the following topic.Group or team activities can teach more important skills for life than those activities ,6
Some people say that advertising has positive economic effects. Others think it has negative social effects because it w,6
Some people say that the experiences a child has before starting school have the most influence on their future life. Ot,6
"Write about the following topic.Due to the development and rapid expansion of supermarket in some countries, many small,",6
Write about the following topic.Some people feel that manufacturers and supermarkets have the responsibility to reduce t,6
Some people believe that time spent on electronic games can be valuable for children. Others believe this has negative e,6
Young people who commit crimes should be treated in the same way as adults who commit crimes. To what extent do you agre,6
Many people use social media to keep in touch with other people and for news events. Do the advantages of this outweigh ,6
most people decided to have children in their later age than in the past. why? do the advantages of this outweigh its di,6
Children find it difficult to pay attention or concentrate on school study what are the reasons? How can we solve this p,6
"some people say that fashion affects our lives in a negative way. However, others say that it has more positive effects ",6
Many studies have shown that most criminals have a low level of education. Some people say that to reduce the crime rate,6
"men and women are different in terms of their characteristics and abilities. for this reason, their jobs are better done",6
Some cities create housing areas by providing taller buildings. Others create housing by building houses on a wider area,6
The only way to improve the safety of our roads is to give much stricter punishments on driving offenses. What extent do,6
some people believe that a greater difference in age between parents and children is more beneficial than less of a diff,6
Some people think advertisements may have positive economic effects whereas others think there are negative social effec,6
Housing shortage in big cities can cause severe social consequences. Some people think only government action can solve ,6
"In some countries, more and more people are becoming interested in finding out about the history of the house or the bui",6
Some people think that there should be strict laws to control the amount of noise a person makes because of the disturba,6
Films and computers games containing violence are popular. Some people say they have negative effect on society and shou,6
"Some people say that modern technology has made shopping today easier, while others disagree. Discuss both views and giv",6
"Some countries achieve international sports by building specialised facilities to train top athletes, instead of providi",6
You should spend about 40 minutes on this task. Write about the following topic. Some people believe that one of the bes,6
Young people who commit crimes should be treated the same way as adults. To what extent do you agree or disagree?,6
Young people are often influenced in their behaviours and situations by others in the same age. This is called “peer pre,6
Many people have job that involve working shifts (working at night). What are some of the problems that shift workers mi,6
Some people believe that all teenagers should have to do unpaid work during their free time in order to help the local c,6
Increases in the production of consumer goods results in damage to the natural environment. Why is this the case? What c,6
"Some people think that newspapers are the best way to learn news. However, others believe that they can learn news bette",6
People nowadays tend to have children at older ages. Do the advantages of this outweigh the disadvantages.,6
Some people think that robot technology is very important for our future. Others believe that robots are a dangerous inv,6
People are becoming dependent on the Internet and phone. Do the benefits of this outweigh the disadvantages?,6
some people believe that eventually all jobs will be done by artificially intelligent robots. what is your opinion.,6
Some people believe that studying at university or college is the best route to a successful career while others believe,6
Some people believe that government should take care of old people and provide financial support after they retire. Othe,6
"Some people think that technology makes life complex, so we should make our life simpler without using technology. To wh",6
The range of technology available to people is increasing the gap between the rich and the poor. Other think it has an o,6
"As transport and accommodation problems are increasing in many cities, some governments are encouraging businesses to mo",6
Many people today are choosing to travel to other countries. Why is this happening? Is this a positive or negative devel,6
"Education for young people is important in many countries. However, the others think government should spend more money ",6
Children find it difficult to concentrate on or pay attention to school. What are the reasons? How can we solve this pro,6
"Write about the following topic: Some people believe that they should be able to keep all the money they earn, and shoul",6
Some people think it is one of the best ways to solve the environmental problems by increasing the cost of fuels for car,6
Some people use social media to keep in touch with other people and new events. Do you think advantages of this technolo,6
Write about the following topic.In many countries large amounts of foods are wasted. Why do you think people waste food ,6
"In some cities people are choosing cars instead of bicycles, while in other cities riding bikes is replacing cars. why i",6
"The best way to teach children to cooperate is through team sports at school, to what extent do you agree or disagree?",6
"in many countries today, parents are able to choose to send their children to single sex schools or co-educational schoo",6
Some people believe that time spent on television and computer games can be valuable for children. Others believe this h,6
Some people belive that teenagers should be required to do unpaid community work in their free time. This can benefit te,6
Some people think that art is an essential subject for children at schools while others think it is a waste of time. Dis,6
In many places women are taking jobs which are traditionally done by men. What do you think make these changes happen? W,6
"In some couintries, more and more people are becoming interested in finding out about the history of the house or buildi",6
"Children today have more responsibilities than the past. Some people think it has positive effects than negative ones, w",6
some people think that robots are very important to humans future development while others think they are dangerous and ,6
"Interviews form the basic selection criteria for most large companies. However, some poeple think that interviews is not",5
Some school leavers travel or work for a period of time instead going directly to university. What are the advantages an,5
Some people believe teenagers should be required to do unpaid community work in their free time. This can benefit the te,5
Some people believe that what children watch on television influences their behavior. Others say that amount of time spe,5
"IN SOME COUNTRIES, MORE AND MORE PEOPLE ARE BECOMING INTERESTED IN FINDING OUT ABOUT THE HISTORY OF THE HOUSE OR BUILDIN",5
"In many countries today, parents are able to send their children to single-sex schools or co-education schools. Some peo",5
Present a written argument or case to an educated non-specialist audience on the following topic:Some employers reward m,5
Write about the following topic.Few people devote time to hobbies nowadays. Say why you think this is the case and what ,5
"Write about the following topic.To meet the growing need for food to support an increasing population, a country should ",5
"Many people argue that in order to improve educational quality , high school students should be encouraged to question a",5
"Today, people in many countries have to spend more and more time away from their families. Why is this happening? What e",5
Many people use social media on a regular basis in order to keep in touch ‎with the news and with other people. Do you t,5
"Some people think that the main purpose of school is to turn children into good citizens and workers, rather than to ben",5
Write about the following topic.Some people believe that it is good to share as much information as possible in scientif,5
Write about the following topic.Many people use written language in a less formal and more relaxed way. Why? Does this d,5
Whether or not someone achieve their aims is mostly by a question of luck. To what extent do you agree or disagree?,5
Some people think that the main purpose of schools is to turn children into good citizens and workers.rather to benefit ,5
A country becomes more interesting and develops more quickly when its population includes a mixture of nationalities.To ,5
"In some countries, celebrities complain about the way the media publicize their private lives. Some people say that they",5
Some people say that playing computergames is bad for children in every aspect. Ohters say that palying computergames ca,5
"Studies have shown that many criminals have a low level of education. For this reason, some people believe that the best",5
Many people think modern communication technology is having some negative effects on social relationships. Do you agree ,5
Write about the following topic.It is inevitable that traditional cultures will be lost as technology develops. Technolo,5
Nowadays people use social media to keep in touch with others and be aware of the news. Do the advantages outweigh the d,5
There is growing evidence that man-made activities are making global temperatures higher.What might be the man-made caus,5
Write about the following topic.Some people think that art is an essential subject for children at school while others t,5
"Some museums and art galleries charge admission fees, while others have free entry.Do you think the advantages of chargi",5
The use of social media is replacing face-to-face interaction among many people in society. Do you think the advantages ,5
In some countries people spend long hours at work. Why does this happen? Is it positive or negative development,5
"In some countries ,more and more people are becoming interested in finding out about the history of the house or buildin",5
"Some people think that instead of preventing climate change, we need to find a way to live with it. To what extend do yo",5
"It is important for all the cities and towns to have large outdoor public spaces, such as parks or squares. Do you agree",5
Studies show that criminals get low level of education. Some people believe that the best way to reduce crime is educati,5
Some countries have an ever-increasing proportion of population who are aged 15 and younger. What is your opinion of the,5
"Some people think the news has no connection to people's lives, so then it is a waste of time to read the news in the ne",5
Many university degree holders cannot find a job in their chosen profession.What factors may have caused this situation ,5
Some people say that most of the urgent problems can only be solved with international cooperation. To what extent do yo,5
Some people believe that all jobs will be done by artificially intelligent machines. What is your opinion?,5
Some people believe that it is the government's responsibility to provide care and financial to support people after the,5
Some people think that teenagers should be required to do unpaid work in their free time to help the local community. Th,5
It is common for people to travel long distances for work and study. Some argue that longer commute times affect people ,5
Some people find advertisements amusing or annoying and they are not influenced by this when they shop. To what extent d,5
Boxing is a blood sport which often results in physical injury. It is inappropriate for this sport to exist in the moder,5
"It is important for all towns and cities to have large public spaces such as parks and squares, Do you agree or disagree",5
Some people think that it is a good idea to give children a small amount of money each week to spend on what they would ,5
Employees should not work in jobs they don’t enjoy. To what extent do you agree or disagree?,5
"Some people think the technology makes life complex, so we should make the life simpler without using the technology. To",5
The increase in the production of consumer goods results in damage to the natural environment. What is the cause of this,5
More and more people are becoming seriously overweight. Some people think a solution can be to increase the price of fat,5
Some people claim that many things that children are taught at school have wasted their time. Other people argue that ev,5
The increase in the production of consumer goods results in damage to the natural environment. What are the cause of thi,5
It is important for all towns and cities to have large public spaces such as squares and parks. Do You agree or disagree,5
Some employers believe that job applicants' social skills are more important than their academic qualifications. To what,5
Some people think that outdoor activities are more beneficial for childrenâ€™s development than playing computer games. ,5
Some people decided to have children in their late age than in the past. Why? Do advantages of this outweigh the disadva,5
